Table: 0

Reference ,Designation ,Qty ,Unit price ,Total CHF ,Sales ,
Work ,,,,,,
SERVICE D ,COMPLETE OVERHAUL ,1 ,5500.00 ,5500.00 ,220 ,
SERVICE D ,REFRESHING COMPLETE CASE AND RHODIUM BATH ,1 ,380.00 ,380.00 ,220 ,
Exterior parts: ,,,,,,
JO.297.065.FP ,FLAT GASKET ,1 ,3.00 ,3.00 ,220 ,
JO.197.075.FP ,FLAT GASKET ,1 ,4.00 ,4.00 ,220 ,
JO.199.059.OS ,FLAT ROUND GASKET ,1 ,6.00 ,6.00 ,220 ,
VI.261.036.BC ,W.G.FIXATION SCREWS ,10 ,4.00 ,40.00 ,220 ,
Al.465.055.BC ,WHITE GOLD "FOIL" ,1 ,70.00 ,70.00 ,220 ,
,PAIR OF HAND ,,,,,
,LENGTH: 10/13.50MM ,,,,,
,CALIBRE 2868 ,,,,,
,SPECIAL DISCOUNT ,,-3003.00 ,-3003.00 ,,
,Discount ,,-900.00 ,-900.00 ,,
,Total CHF ,,,2100.00 ,,





Payment date:,03/12/2006
Total CHF,2100.00
Invoice no.,DVT-AX-345678
Card No:,112345678
Credit Card:,Visa
LENGTH:,10/13.50MM
Payment:,"Mr. John Doe Green Street 15, Office 4 1234 Vermut New Caledonia"
CALIBRE,2868
RETURN AFTER REPAIR,NO COMMERCIAL VALUE
Exterior parts:,No value found
